iter	Passed	Remaining
0	141	141084
1	144	71939
2	146	48819
3	148	37084
4	151	30098
5	153	25421
6	155	22065
7	158	19594
8	160	17687
9	162	16114
10	164	14824
11	166	13739
12	168	12808
13	171	12075
14	174	11463
15	176	10873
16	178	10337
17	180	9861
18	182	9427
19	184	9043
20	186	8708
21	189	8444
22	192	8172
23	194	7913
24	196	7662
25	198	7435
26	200	7238
27	203	7077
28	206	6904
29	208	6725
30	210	6569
31	212	6419
32	214	6280
33	216	6151
34	219	6043
35	221	5926
36	223	5810
37	225	5703
38	227	5599
39	229	5507
40	231	5424
41	234	5340
42	235	5250
43	237	5169
44	240	5109
45	243	5042
46	245	4973
47	247	4914
48	249	4847
49	251	4779
50	253	4712
51	255	4648
52	257	4599
53	259	4551
54	261	4497
55	263	4443
56	265	4390
57	267	4342
58	269	4295
59	270	4244
60	272	4201
61	275	4168
62	277	4124
63	279	4083
64	280	4042
65	282	4003
66	284	3965
67	287	3936
68	290	3917
69	292	3883
70	294	3851
71	296	3820
72	298	3788
73	300	3755
74	302	3726
75	304	3697
76	306	3674
77	308	3646
78	310	3618
79	312	3590
80	314	3562
81	315	3535
82	317	3503
83	319	3478
84	321	3461
85	323	3439
86	325	3416
87	327	3393
88	329	3371
89	331	3351
90	334	3338
91	337	3328
92	339	3310
93	341	3292
94	343	3271
95	345	3256
96	348	3243
97	351	3230
98	353	3218
99	355	3202
100	357	3185
101	360	3172
102	362	3158
103	364	3143
104	367	3134
105	369	3118
106	371	3102
107	373	3088
108	376	3074
109	378	3063
110	381	3058
111	384	3047
112	387	3037
113	388	3022
114	392	3019
115	396	3022
116	399	3014
117	402	3006
118	404	2994
119	407	2985
120	409	2974
121	411	2964
122	414	2953
123	416	2941
124	419	2934
125	421	2921
126	423	2907
127	426	2903
128	428	2891
129	430	2879
130	432	2867
131	434	2854
132	435	2841
133	438	2834
134	441	2828
135	444	2821
136	446	2811
137	448	2799
138	451	2793
139	453	2786
140	456	2778
141	457	2764
142	459	2756
143	462	2746
144	465	2741
145	467	2731
146	470	2728
147	473	2727
148	476	2723
149	479	2718
150	482	2713
151	485	2709
152	487	2701
153	490	2692
154	492	2683
155	494	2675
156	498	2674
157	500	2666
158	503	2661
159	505	2653
